FID,ogc_fid,education_sector,entity_type,school_no,school_name,school_type,school_status,_address_line_1,_address_line_2,address_town,address_state,address_postcode,_postal_address_line_1,_postal_address_line_2,postal_town,postal_state,postal_postcode,full_phone_no,lga_id,lga_name,x,y,wkb_geometry
vic_school_locations_2019.1,1,Government,1,1,Alberton Primary School,Primary,O,21 Thomson Street,,Alberton,VIC,3971,21 Thomson Street,,ALBERTON,VIC,3971,03 5183 2412,681,Wellington (S),146.6666,-38.6177,MULTIPOINT ((-38.61771300092026 146.666601))
vic_school_locations_2019.2,2,Government,1,3,Allansford and District Primary School,Primary,O,Frank Street,,Allansford,VIC,3277,Frank Street,,ALLANSFORD,VIC,3277,03 5565 1382,673,Warrnambool (C),142.5904,-38.3863,MULTIPOINT ((-38.38628100091855 142.590393))
vic_school_locations_2019.3,3,Government,1,4,Avoca Primary School,Primary,O,118 Barnett Street,,Avoca,VIC,3467,P O Box 12,,AVOCA,VIC,3467,03 5465 3176,599,Pyrenees (S),143.4756,-37.0845,MULTIPOINT ((-37.08450200090787 143.475649))
vic_school_locations_2019.4,4,Government,1,8,Avenel Primary School,Primary,O,40 Anderson Street,,Avenel,VIC,3664,40 Anderson Street,,AVENEL,VIC,3664,03 5796 2264,643,Strathbogie (S),145.2347,-36.9014,MULTIPOINT ((-36.90136800090621 145.234722))
vic_school_locations_2019.5,5,Government,1,12,Warrandyte Primary School,Primary,O,5-11 Forbes Street,,Warrandyte,VIC,3113,5-11 Forbes Street,,WARRANDYTE,VIC,3113,03 9844 3537,421,Manningham (C),145.214,-37.7427,MULTIPOINT ((-37.7426750009135 145.21397999999996))
vic_school_locations_2019.6,6,Government,1,26,Belmont Primary School,Primary,O,51 Mt Pleasant Road,,Belmont,VIC,3216,P O Box 471,,BELMONT,VIC,3216,03 5243 2972,275,Greater Geelong (C),144.3421,-38.1707,MULTIPOINT ((-38.170672000916916 144.342099))
vic_school_locations_2019.7,7,Government,1,28,Bacchus Marsh Primary School,Primary,O,56-62 Lerderderg Street,,Bacchus Marsh,VIC,3340,P O Box 334,,Bacchus Marsh,VIC,3340,03 5367 2745,515,Moorabool (S),144.4431,-37.673,MULTIPOINT ((-37.67302961091294 144.44312069999998))
vic_school_locations_2019.8,8,Government,1,33,Ballarat Primary School (Dana Street),Primary,O,401 Dana Street,,Ballarat,VIC,3350,401 Dana Street,,BALLARAT,VIC,3350,03 5332 1301,57,Ballarat (C),143.8539,-37.564,MULTIPOINT ((-37.56401278091202 143.85393599999998))
vic_school_locations_2019.9,9,Government,1,37,Wodonga Primary School,Primary,O,Brockley Street,,Wodonga,VIC,3690,PO Box 329,,WODONGA,VIC,3689,02 6048 0300,717,Wodonga (C),146.8898,-36.1292,MULTIPOINT ((-36.12921400089883 146.88982))
vic_school_locations_2019.10,10,Government,1,40,Berwick Primary School,Primary,O,37 Fairholme Boulevard,,Berwick,VIC,3806,37 Fairholme Boulevard,,Berwick,VIC,3806,03 9707 1026,161,Casey (C),145.3544,-38.0441,MULTIPOINT ((-38.04409400091593 145.354417))
vic_school_locations_2019.11,11,Government,1,60,Beaufort Primary School,Primary,O,2/37 Park Road,,Beaufort,VIC,3373,P O Box 18,,BEAUFORT,VIC,3373,03 5349 2490,599,Pyrenees (S),143.3817,-37.4385,MULTIPOINT ((-37.43852098091096 143.3817175))
vic_school_locations_2019.12,12,Government,1,84,Cheltenham Primary School,Primary,O,231 Charman Road,,Cheltenham,VIC,3192,231 Charman Road,,CHELTENHAM,VIC,3192,03 8585 3200,91,Bayside (C),145.0546,-37.9686,MULTIPOINT ((-37.96860800091533 145.054635))
vic_school_locations_2019.13,13,Government,1,105,Cudgee Primary School,Primary,O,3 Hallowells Road,,Cudgee,VIC,3265,3 Hallowells Road,,CUDGEE,VIC,3265,03 5567 6346,549,Moyne (S),142.6508,-38.3479,MULTIPOINT ((-38.34793800091827 142.650844))
vic_school_locations_2019.14,14,Government,1,113,Newport Lakes Primary School,Primary,O,Elizabeth Street,,Newport,VIC,3015,Elizabeth Street,,NEWPORT,VIC,3015,03 9391 8942,311,Hobsons Bay (C),144.8783,-37.8384,MULTIPOINT ((-37.838424000914294 144.87834499999997))
vic_school_locations_2019.15,15,Government,1,116,Cavendish Primary School,Primary,O,8-10 Barker Street,,Cavendish,VIC,3314,P O Box 28,,CAVENDISH,VIC,3314,03 5574 2282,626,Southern Grampians (S),142.0399,-37.5309,MULTIPOINT ((-37.53087000091174 142.039893))
vic_school_locations_2019.16,16,Government,1,117,Colac Primary School,Primary,O,53-65 Murray Street East,,Colac,VIC,3250,P O Box 325,,COLAC,VIC,3250,03 5231 2560,175,Colac-Otway (S),143.5983,-38.3372,MULTIPOINT ((-38.3372240009182 143.59833599999996))
vic_school_locations_2019.17,17,Government,1,119,Castlemaine Primary School,Primary,O,Cnr Mostyn & Urquhart Street,,Castlemaine,VIC,3450,P O Box 448,,CASTLEMAINE,VIC,3450,03 5472 1452,543,Mount Alexander (S),144.2223,-37.0666,MULTIPOINT ((-37.06659500090771 144.222329))
vic_school_locations_2019.18,18,Government,1,120,Campbells Creek Primary School,Primary,O,Main Road,,Campbells Creek,VIC,3451,Main Road,,CAMPBELLS CREEK,VIC,3451,03 5472 2180,543,Mount Alexander (S),144.2047,-37.0929,MULTIPOINT ((-37.09293500090795 144.204662))
vic_school_locations_2019.19,19,Government,1,122,Creswick Primary School,Primary,O,67 Napier Street,,Creswick,VIC,3363,P O Box 67,,CRESWICK,VIC,3363,03 5345 2044,291,Hepburn (S),143.8916,-37.4241,MULTIPOINT ((-37.424113550910846 143.8915581))
vic_school_locations_2019.20,20,Government,1,123,California Gully Primary School,Primary,O,4-14 Staley Street,,California Gully,VIC,3556,P O Box 88,,CALIFORNIA GULLY,VIC,3556,03 5446 8393,262,Greater Bendigo (C),144.2499,-36.7332,MULTIPOINT ((-36.73320700090466 144.249857))
vic_school_locations_2019.21,21,Government,1,128,St Andrews Primary School,Primary,O,Caledonia Street,,St Andrews,VIC,3761,Caledonia Street,,ST ANDREWS,VIC,3761,03 9710 1255,571,Nillumbik (S),145.2698,-37.6023,MULTIPOINT ((-37.60231600091234 145.269827))
vic_school_locations_2019.22,22,Government,1,182,Warrnambool West Primary School,Primary,O,35 Hoddle Street,,Warrnambool,VIC,3280,35 Hoddle Street,,WARRNAMBOOL,VIC,3280,03 5561 3161,673,Warrnambool (C),142.4668,-38.3663,MULTIPOINT ((-38.36633800091841 142.466796))
vic_school_locations_2019.23,23,Government,1,184,Dromana Primary School,Primary,O,Mcculloch Street,,Dromana,VIC,3936,P O Box 166,,DROMANA,VIC,3936,03 5987 2367,534,Mornington Peninsula (S),144.9597,-38.3396,MULTIPOINT ((-38.339644000918206 144.959653))
vic_school_locations_2019.24,24,Government,1,197,Doncaster Primary School,Primary,O,2 - 12 Council Street,,Doncaster,VIC,3108,PO Box 404,,"Westfield, Doncaster",VIC,3108,03 9848 1122,421,Manningham (C),145.1297,-37.7868,MULTIPOINT ((-37.78680400091387 145.129673))
vic_school_locations_2019.25,25,Government,1,208,Echuca Primary School,Primary,O,413-431 High Street,,Echuca,VIC,3564,413-431 High Street,,ECHUCA,VIC,3564,03 5483 0700,137,Campaspe (S),144.7475,-36.1282,MULTIPOINT ((-36.12819800089881 144.747463))
vic_school_locations_2019.26,26,Government,1,209,Eltham Primary School,Primary,O,Dalton Street,,Eltham,VIC,3095,DALTON STREET,,ELTHAM,VIC,3095,03 9439 9374,571,Nillumbik (S),145.1478,-37.725,MULTIPOINT ((-37.72498353091337 145.1478042))
vic_school_locations_2019.27,27,Government,1,210,Eaglehawk Primary School,Primary,O,Church St,,Eaglehawk,VIC,3556,P O Box 77,,EAGLEHAWK,VIC,3556,03 5446 3722,262,Greater Bendigo (C),144.2543,-36.7206,MULTIPOINT ((-36.72058300090455 144.254259))
vic_school_locations_2019.28,28,Government,1,220,Elphinstone Primary School,Primary,O,26 Wright Street,,Elphinstone,VIC,3448,26 Wright Street,,ELPHINSTONE,VIC,3448,03 5473 3285,543,Mount Alexander (S),144.3329,-37.105,MULTIPOINT ((-37.10500363090806 144.3329025))
vic_school_locations_2019.29,29,Government,1,244,Hallam Primary School,Primary,O,24 Harmer Road,,Hallam,VIC,3803,24 Harmer Road,,HALLAM,VIC,3803,03 9703 1536,161,Casey (C),145.2582,-38.0018,MULTIPOINT ((-38.0017590009156 145.258244))
vic_school_locations_2019.30,30,Government,1,250,Flemington Primary School,Primary,O,Cnr Mt Alexander Rd & Padman Lane,,Flemington,VIC,3031,P O Box 7,,FLEMINGTON,VIC,3031,03 9376 7137,506,Moonee Valley (C),144.9339,-37.7807,MULTIPOINT ((-37.78067400091382 144.933923))
vic_school_locations_2019.31,31,Government,1,253,Footscray Primary School,Primary,O,Cnr Geelong Road & Barkly St,,Footscray,VIC,3011,P O Box 6019,,WEST FOOTSCRAY,VIC,3012,03 9687 1910,433,Maribyrnong (C),144.8927,-37.7984,MULTIPOINT ((-37.798383000913965 144.892669))
vic_school_locations_2019.32,32,Government,1,262,Gisborne Primary School,Primary,O,35 Fisher Street,,Gisborne,VIC,3437,35 FISHER STREET,,GISBORNE,VIC,3437,03 5428 2022,413,Macedon Ranges (S),144.5884,-37.4909,MULTIPOINT ((-37.490859100911415 144.5884416))
vic_school_locations_2019.33,33,Government,1,267,Sandringham Primary School,Primary,O,31 Bamfield Street,,Sandringham,VIC,3191,31 Bamfield Street,,SANDRINGHAM,VIC,3191,03 9598 1488,91,Bayside (C),145.0093,-37.9476,MULTIPOINT ((-37.94763100091517 145.009306))
vic_school_locations_2019.34,34,Government,1,275,Wandiligong Primary School,Primary,O,119 School Road,,Wandiligong,VIC,3744,P O Box 591,,BRIGHT,VIC,3741,03 5755 1026,11,Alpine (S),146.9829,-36.7689,MULTIPOINT ((-36.768862000904996 146.982923))
vic_school_locations_2019.35,35,Government,1,283,Grovedale Primary School,Primary,O,143 Bailey Street,,Grovedale,VIC,3216,143 Bailey Street,,GROVEDALE,VIC,3216,03 5243 3902,275,Greater Geelong (C),144.3478,-38.1976,MULTIPOINT ((-38.19764300091713 144.347756))
vic_school_locations_2019.36,36,Government,1,293,Hawthorn West Primary School,Primary,O,Cnr Wood Street & Burwood Road,,Hawthorn,VIC,3122,Cnr Wood Street & Burwood Road,,HAWTHORN,VIC,3122,03 9818 2233,111,Boroondara (C),145.0184,-37.8201,MULTIPOINT ((-37.82011200091414 145.01837699999996))
vic_school_locations_2019.37,37,Government,1,294,Heidelberg Primary School,Primary,O,Cape Street,,Heidelberg,VIC,3084,P O Box 330,,HEIDELBERG,VIC,3084,03 9457 2259,66,Banyule (C),145.0678,-37.7547,MULTIPOINT ((-37.75470500091362 145.067799))
vic_school_locations_2019.38,38,Government,1,295,Hamilton (Gray Street) Primary School,Primary,O,42 Gray Street,,Hamilton,VIC,3300,P O Box 203,,HAMILTON,VIC,3300,03 5571 9295,626,Southern Grampians (S),142.0214,-37.7449,MULTIPOINT ((-37.74491400091353 142.021384))
vic_school_locations_2019.39,39,Government,1,300,Heathcote Primary School,Primary,O,31 Herriot Street,,Heathcote,VIC,3523,P O Box 631,,HEATHCOTE,VIC,3523,03 5433 3090,262,Greater Bendigo (C),144.7069,-36.924,MULTIPOINT ((-36.92401200090643 144.706851))
vic_school_locations_2019.40,40,Government,1,304,Highton Primary School,Primary,O,218 Roslyn Road,,Highton,VIC,3216,P O Box 6093,,HIGHTON,VIC,3216,03 5243 1494,275,Greater Geelong (C),144.3171,-38.1722,MULTIPOINT ((-38.172156000916935 144.317085))
vic_school_locations_2019.41,41,Government,1,306,Huntly Primary School,Primary,O,101 Brunel Street,,Huntly,VIC,3551,101 Brunel Street,,HUNTLY,VIC,3551,03 5448 8866,262,Greater Bendigo (C),144.3344,-36.6625,MULTIPOINT ((-36.662544000904 144.334396))
vic_school_locations_2019.42,42,Government,1,319,Bellbrae Primary School,Primary,O,50 School Road,,Bellbrae,VIC,3228,50 School Road,,BELLBRAE,VIC,3228,03 5261 2660,649,Surf Coast (S),144.263,-38.3336,MULTIPOINT ((-38.333644030918165 144.2630037))
vic_school_locations_2019.43,43,Government,1,327,Chiltern Primary School,Primary,O,91-101 Albert Road,,Chiltern,VIC,3683,P O Box 30,,CHILTERN,VIC,3683,03 5726 1421,335,Indigo (S),146.6066,-36.1471,MULTIPOINT ((-36.147066000899 146.606601))
vic_school_locations_2019.44,44,Government,1,343,Kyneton Primary School,Primary,O,49-79 Edgecombe Street,,Kyneton,VIC,3444,P O Box 192,,KYNETON,VIC,3444,03 5422 1855,413,Macedon Ranges (S),144.4627,-37.2489,MULTIPOINT ((-37.24888900090932 144.462694))
vic_school_locations_2019.45,45,Government,1,366,Romsey Primary School,Primary,O,2-56 Station Street,,Romsey,VIC,3434,Station Street,,ROMSEY,VIC,3434,03 5429 5099,413,Macedon Ranges (S),144.7454,-37.3542,MULTIPOINT ((-37.35417523091024 144.74537919999997))
vic_school_locations_2019.46,46,Government,1,379,Shelford Primary School,Primary,O,1717 Shelford-Bannockburn Road,,Shelford,VIC,3329,1717 Shelford-Bannockburn Road,,SHELFORD,VIC,3329,03 5281 3291,249,Golden Plains (S),143.9821,-38.014,MULTIPOINT ((-38.013994600915694 143.9821391))
vic_school_locations_2019.47,47,Government,1,385,Lockwood South Primary School,Primary,O,710 Calder Alternative Highway,,Lockwood South,VIC,3551,710 Calder Alternative Highway,,LOCKWOOD SOUTH,VIC,3551,03 5435 3293,262,Greater Bendigo (C),144.1567,-36.8416,MULTIPOINT ((-36.84160200090567 144.156748))
vic_school_locations_2019.48,48,Government,1,400,Marong Primary School,Primary,O,2 Leslie Street,,Marong,VIC,3515,P O Box 303,,MARONG,VIC,3515,03 5435 2288,262,Greater Bendigo (C),144.1354,-36.7357,MULTIPOINT ((-36.73567900090469 144.135372))
vic_school_locations_2019.49,49,Government,1,415,Mount Macedon Primary School,Primary,O,641 Mount Macedon Road,,Mount Macedon,VIC,3441,641 Mount Macedon Road,,MOUNT MACEDON,VIC,3441,03 5426 1446,413,Macedon Ranges (S),144.5841,-37.4048,MULTIPOINT ((-37.404793790910674 144.5841275))
vic_school_locations_2019.50,50,Government,1,427,Mount Clear Primary School,Primary,O,1206 Geelong Road,,Mount Clear,VIC,3350,1206 Geelong Road,,MOUNT CLEAR,VIC,3350,03 5330 1844,57,Ballarat (C),143.8684,-37.6047,MULTIPOINT ((-37.60474100091237 143.86837299999996))
vic_school_locations_2019.51,51,Government,1,430,Melton Primary School,Primary,O,Unitt Street,,Melton,VIC,3337,P O Box 512,,MELTON,VIC,3337,03 9743 5335,465,Melton (C),144.587,-37.6805,MULTIPOINT ((-37.680455000913 144.587015))
vic_school_locations_2019.52,52,Government,1,450,Fitzroy Primary School,Primary,O,319 George Street,,Fitzroy,VIC,3065,P O Box 150,,FITZROY,VIC,3065,03 9417 4222,735,Yarra (C),144.9815,-37.7996,MULTIPOINT ((-37.79960300091397 144.981511))
vic_school_locations_2019.53,53,Government,1,452,Newstead Primary School,Primary,O,28 Lyons Street,,Newstead,VIC,3462,28 Lyons Street,,NEWSTEAD,VIC,3462,03 5476 2226,543,Mount Alexander (S),144.0672,-37.1059,MULTIPOINT ((-37.10591700090806 144.06719))
vic_school_locations_2019.54,54,Government,1,453,Newlyn Primary School,Primary,O,2701 Midland Highway,,Newlyn,VIC,3364,2701 Midland Highway,,NEWLYN,VIC,3364,03 5345 7222,291,Hepburn (S),143.9844,-37.412,MULTIPOINT ((-37.41202483091074 143.9844266))
vic_school_locations_2019.55,55,Government,1,454,Burwood East Primary School,Primary,O,Cnr Blackburn And Highbury Rds,,Burwood East,VIC,3151,P O Box 374,,GLEN WAVERLEY,VIC,3150,03 9802 8618,698,Whitehorse (C),145.1518,-37.8597,MULTIPOINT ((-37.859734000914465 145.151807))
vic_school_locations_2019.56,56,Government,1,467,New Gisborne Primary School,Primary,O,239 Station Road,,New Gisborne,VIC,3438,239 Station Road,,NEW GISBORNE,VIC,3438,03 5428 2232,413,Macedon Ranges (S),144.5966,-37.4629,MULTIPOINT ((-37.46288785091117 144.596579))
vic_school_locations_2019.57,57,Government,1,482,Beeac Primary School,Primary,O,35 Lang Street,,Beeac,VIC,3251,Lang Street,,BEEAC,VIC,3251,03 5234 6463,175,Colac-Otway (S),143.6443,-38.194,MULTIPOINT ((-38.1939730009171 143.644279))
vic_school_locations_2019.58,58,Government,1,483,Essendon Primary School,Primary,O,38 Raleigh Street,,Essendon,VIC,3040,38 Raleigh Street,,ESSENDON,VIC,3040,03 9370 7816,506,Moonee Valley (C),144.921,-37.7531,MULTIPOINT ((-37.75309500091361 144.921042))
vic_school_locations_2019.59,59,Government,1,484,Coburg Primary School,Primary,O,92 Bell Street,,Coburg,VIC,3058,92 Bell Street,,COBURG,VIC,3058,03 9354 9332,525,Moreland (C),144.9682,-37.7413,MULTIPOINT ((-37.741303000913504 144.968211))
vic_school_locations_2019.60,60,Government,1,486,Penshurst Primary School,Primary,O,87 Ritchie Street,,Penshurst,VIC,3289,87 Ritchie Street,,PENSHURST,VIC,3289,03 5576 5433,626,Southern Grampians (S),142.2913,-37.8792,MULTIPOINT ((-37.87918400091462 142.291326))
vic_school_locations_2019.61,61,Government,1,487,Myrniong Primary School,Primary,O,13 Muddy Lane,,Myrniong,VIC,3341,13 Muddy Lane,,MYRNIONG,VIC,3341,03 5368 7232,515,Moorabool (S),144.3463,-37.6197,MULTIPOINT ((-37.61971733091249 144.3463198))
vic_school_locations_2019.62,62,Government,1,488,Mernda Primary School,Primary,O,25 Everton Drive,,Mernda,VIC,3754,P O Box 222,,MERNDA,VIC,3754,03 9717 7900,707,Whittlesea (C),145.0922,-37.5946,MULTIPOINT ((-37.59459504091228 145.0922429))
vic_school_locations_2019.63,63,Government,1,489,Portland Primary School,Primary,O,45 Palmer Street,,Portland,VIC,3305,PO Box 494,,PORTLAND,VIC,3305,0499 094 226,241,Glenelg (S),141.5994,-38.3473,MULTIPOINT ((-38.34729500091827 141.599408))
vic_school_locations_2019.64,64,Government,1,502,Stawell Primary School,Primary,O,14-28 Barnes Street,,Stawell,VIC,3380,P O Box 502,,STAWELL,VIC,3380,03 5358 1255,581,Northern Grampians (S),142.7738,-37.0561,MULTIPOINT ((-37.05612800090763 142.773775))
vic_school_locations_2019.65,65,Government,1,522,Rutherglen Primary School,Primary,O,44 Murray Street,,Rutherglen,VIC,3685,P O Box 75,,RUTHERGLEN,VIC,3685,02 6032 9428,335,Indigo (S),146.4606,-36.0562,MULTIPOINT ((-36.05620900089811 146.460614))
vic_school_locations_2019.66,66,Government,1,528,Riddells Creek Primary School,Primary,O,69-77 Main Road,,Riddells Creek,VIC,3431,P O Box 255,,RIDDELLS CREEK,VIC,3431,03 5428 7277,413,Macedon Ranges (S),144.6798,-37.4612,MULTIPOINT ((-37.46122119091116 144.6797752))
vic_school_locations_2019.67,67,Government,1,531,Rokewood Primary School,Primary,O,38 Aitchison Street,,Rokewood,VIC,3330,38 AITCHISON Street,,ROKEWOOD,VIC,3330,03 5346 1394,249,Golden Plains (S),143.7228,-37.9037,MULTIPOINT ((-37.903656090914815 143.72281459999996))
vic_school_locations_2019.68,68,Government,1,541,Geelong East Primary School,Primary,O,184 Boundary Road,,Geelong East,VIC,3219,184 Boundary Road,,GEELONG EAST,VIC,3219,03 5248 4885,275,Greater Geelong (C),144.3828,-38.1755,MULTIPOINT ((-38.175510000916965 144.382769))
vic_school_locations_2019.69,69,Government,1,545,Sale Primary School,Primary,O,Macalister Street,,Sale,VIC,3850,P O Box 59,,SALE,VIC,3850,03 5144 5545,681,Wellington (S),147.0736,-38.1083,MULTIPOINT ((-38.10830300091644 147.073643))
vic_school_locations_2019.70,70,Government,1,582,Skipton Primary School,Primary,O,7 Montgomery Street,,Skipton,VIC,3361,Box 61,,SKIPTON,VIC,3361,03 5340 2002,183,Corangamite (S),143.3682,-37.6869,MULTIPOINT ((-37.686858000913055 143.368161))
vic_school_locations_2019.71,71,Government,1,583,South Yarra Primary School,Primary,O,601 Punt Road,,South Yarra,VIC,3141,601 Punt Road,,SOUTH YARRA,VIC,3141,03 9866 3424,460,Melbourne (C),144.9856,-37.8414,MULTIPOINT ((-37.84135300091431 144.985619))
vic_school_locations_2019.72,72,Government,1,596,Stratford Primary School,Primary,O,Cnr Wellsford & Hobson Streets,,Stratford,VIC,3862,P O Box 84,,STRATFORD,VIC,3862,03 5145 6554,681,Wellington (S),147.0854,-37.9673,MULTIPOINT ((-37.967251000915326 147.085386))
vic_school_locations_2019.73,73,Government,1,614,Taradale Primary School,Primary,O,98 High Street,,Taradale,VIC,3447,98 High Street,,TARADALE,VIC,3447,03 5423 2247,543,Mount Alexander (S),144.3511,-37.1413,MULTIPOINT ((-37.14131300090837 144.351063))
vic_school_locations_2019.74,74,Government,1,618,Koroit And District Primary School,Primary,O,91 Commercial Road,,Koroit,VIC,3282,P O Box 86,,KOROIT,VIC,3282,03 5565 8332,549,Moyne (S),142.3687,-38.2924,MULTIPOINT ((-38.292441000917854 142.36870199999998))
vic_school_locations_2019.75,75,Government,1,621,Tylden Primary School,Primary,O,11 Clowes Street,,Tylden,VIC,3444,11 Clowes Street,,TYLDEN,VIC,3444,03 5424 8244,413,Macedon Ranges (S),144.4088,-37.325,MULTIPOINT ((-37.32496764090999 144.4087844))
vic_school_locations_2019.76,76,Government,1,631,Thomastown Primary School,Primary,O,6 Spring Street,,Thomastown,VIC,3074,6 Spring Street,,THOMASTOWN,VIC,3074,03 9465 2225,707,Whittlesea (C),145.0115,-37.6823,MULTIPOINT ((-37.682271000913005 145.011495))
vic_school_locations_2019.77,77,Government,1,643,Wangaratta Primary School,Primary,O,19 Chisholm Street,,Wangaratta,VIC,3677,P O Box 892,,WANGARATTA,VIC,3676,03 5721 2658,670,Wangaratta (RC),146.3294,-36.3553,MULTIPOINT ((-36.35527500090107 146.329419))
vic_school_locations_2019.78,78,Government,1,644,Wahgunyah Primary School,Primary,O,Elizabeth Street,,Wahgunyah,VIC,3687,Elizabeth Street,,WAHGUNYAH,VIC,3687,02 6033 1265,335,Indigo (S),146.3979,-36.0137,MULTIPOINT ((-36.013651000897674 146.397925))
vic_school_locations_2019.79,79,Government,1,647,Woodend Primary School,Primary,O,146 High Street,,Woodend,VIC,3442,PO Box 318,,WOODEND,VIC,3442,03 5427 2455,413,Macedon Ranges (S),144.5329,-37.3534,MULTIPOINT ((-37.35341833091023 144.5329415))
vic_school_locations_2019.80,80,Government,1,648,Woodford Primary School,Primary,O,8 Victoria Street,,Woodford,VIC,3281,8 Victoria Street,,WOODFORD,VIC,3281,03 5562 7632,673,Warrnambool (C),142.4845,-38.3168,MULTIPOINT ((-38.31680700091803 142.484504))
vic_school_locations_2019.81,81,Government,1,649,Werribee Primary School,Primary,O,2 Deutgam Street,,Werribee,VIC,3030,P O Box 432,,WERRIBEE,VIC,3030,03 9742 6659,726,Wyndham (C),144.6587,-37.9069,MULTIPOINT ((-37.90686500091484 144.65873599999998))
vic_school_locations_2019.82,82,Government,1,652,Winters Flat Primary School,Primary,O,3 Roberts Avenue,,Castlemaine,VIC,3450,P O Box 170,,CASTLEMAINE,VIC,3450,03 5472 1522,543,Mount Alexander (S),144.2075,-37.0702,MULTIPOINT ((-37.07016400090775 144.207491))
vic_school_locations_2019.83,83,Government,1,653,Wooragee Primary School,Primary,O,1011 Beechworth-Wodonga Road,,Wooragee,VIC,3747,1011 Beechworth Wodonga Road,,Beechworth,VIC,3747,03 5728 7255,335,Indigo (S),146.7309,-36.2905,MULTIPOINT ((-36.29048000090044 146.730883))
vic_school_locations_2019.84,84,Government,1,664,Wallan Primary School,Primary,O,46-48 Queen Street,,Wallan,VIC,3756,P O Box 74,,WALLAN,VIC,3756,03 5783 1232,485,Mitchell (S),144.975,-37.4115,MULTIPOINT ((-37.41146500091074 144.975036))
vic_school_locations_2019.85,85,Government,1,688,Woolsthorpe Primary School,Primary,O,12 Manifold Street,,Woolsthorpe,VIC,3276,12 Manifold Street,,WOOLSTHORPE,VIC,3276,03 5569 2241,549,Moyne (S),142.4318,-38.1874,MULTIPOINT ((-38.18741399091705 142.4317633))
vic_school_locations_2019.86,86,Government,1,691,Yandoit Primary School,Primary,O,74 High Street,,Yandoit,VIC,3461,74 High Street,,Yandoit,VIC,3461,03 5476 4286,291,Hepburn (S),144.0884,-37.214,MULTIPOINT ((-37.21400151090902 144.0884407))
vic_school_locations_2019.87,87,Government,1,693,Yarram Primary School,Primary,O,2-14 Wesley Street,,Yarram,VIC,3971,PO Box 196,,YARRAM,VIC,3971,03 5182 5688,681,Wellington (S),146.6753,-38.5585,MULTIPOINT ((-38.558532000919826 146.675323))
vic_school_locations_2019.88,88,Government,1,695,Pleasant Street Primary School (Ballarat),Primary,O,101 Pleasant St North,,Lake Wendouree,VIC,3350,101 PLEASANT ST NORTH,,LAKE WENDOUREE,VIC,3350,03 5332 2598,57,Ballarat (C),143.8385,-37.5563,MULTIPOINT ((-37.55633200091196 143.838497))
vic_school_locations_2019.89,89,Government,1,699,Yea Primary School,Primary,O,23 Station Street,,Yea,VIC,3717,23 Station Sreet,,YEA,VIC,3717,03 5797 2724,562,Murrindindi (S),145.4283,-37.2127,MULTIPOINT ((-37.212727000909005 145.428298))
vic_school_locations_2019.90,90,Government,1,707,Lancefield Primary School,Primary,O,80 High Street,,Lancefield,VIC,3435,80 High Street,,LANCEFIELD,VIC,3435,03 5429 2307,413,Macedon Ranges (S),144.7264,-37.275,MULTIPOINT ((-37.274953580909546 144.726424))
vic_school_locations_2019.91,91,Government,1,716,Coimadai Primary School,Primary,O,86 Bennetts Lane,,Coimadai,VIC,3340,86 Bennetts Lane,,COIMADAI,VIC,3340,03 5367 2907,515,Moorabool (S),144.4783,-37.6138,MULTIPOINT ((-37.61379260091244 144.478308))
vic_school_locations_2019.92,92,Government,1,723,Birregurra Primary School,Primary,O,58 Beal Street,,Birregurra,VIC,3242,58 Beal Street,,BIRREGURRA,VIC,3242,03 5236 2222,175,Colac-Otway (S),143.7865,-38.3405,MULTIPOINT ((-38.34045700091822 143.78651))
vic_school_locations_2019.93,93,Government,1,734,Clayton North Primary School,Primary,O,1714 Dandenong Road,,Clayton,VIC,3168,1714 Dandenong Road,,CLAYTON,VIC,3168,03 9544 1522,497,Monash (C),145.1227,-37.9119,MULTIPOINT ((-37.91194400091487 145.122666))
vic_school_locations_2019.94,94,Government,1,737,Milawa Primary School,Primary,O,133 Milawa-Bobinawarrah Road,,Milawa,VIC,3678,133 Milawa-Bobinawarrah Road,,MILAWA,VIC,3678,03 5727 3243,670,Wangaratta (RC),146.4325,-36.4445,MULTIPOINT ((-36.44454400090193 146.432484))
vic_school_locations_2019.95,95,Government,1,744,Lockwood Primary School,Primary,O,190 Wiegards Road,,Lockwood,VIC,3551,190 Wiegards Road,,LOCKWOOD,VIC,3551,03 5435 3224,262,Greater Bendigo (C),144.1616,-36.8026,MULTIPOINT ((-36.802579000905304 144.161558))
vic_school_locations_2019.96,96,Government,1,749,Bealiba Primary School,Primary,O,9 Grant Street,,Bealiba,VIC,3475,9 Grant St,,BEALIBA,VIC,3475,03 5469 1256,167,Central Goldfields (S),143.5519,-36.7899,MULTIPOINT ((-36.7899420009052 143.551897))
vic_school_locations_2019.97,97,Government,1,754,Bairnsdale Primary School,Primary,O,330 - 370 Main Street,,Bairnsdale,VIC,3875,P O Box 679,,BAIRNSDALE,VIC,3875,03 5152 4395,211,East Gippsland (S),147.6232,-37.8274,MULTIPOINT ((-37.827423220914206 147.6232285))
vic_school_locations_2019.98,98,Government,1,755,Gordon Primary School,Primary,O,1 Dicker Street,,Gordon,VIC,3345,1 Dicker Street,,GORDON,VIC,3345,03 5368 9223,515,Moorabool (S),144.1051,-37.5838,MULTIPOINT ((-37.5838486909122 144.105053))
