FID,ogc_fid,education_sector,entity_type,school_no,school_name,school_type,school_status,_address_line_1,_address_line_2,address_town,address_state,address_postcode,_postal_address_line_1,_postal_address_line_2,postal_town,postal_state,postal_postcode,full_phone_no,lga_id,lga_name,x,y,wkb_geometry
vic_school_locations_2019.597,597,Government,1,3890,Footscray West Primary School,Primary,O,Argyle Street,,West Footscray,VIC,3012,Argyle Street,,WEST FOOTSCRAY,VIC,3012,03 9687 1535,433,Maribyrnong (C),144.8753,-37.7949,MULTIPOINT ((-37.79486700091393 144.875267))
vic_school_locations_2019.598,598,Government,1,3892,Wandin North Primary School,Primary,O,220 Warburton Highway,,Wandin North,VIC,3139,P O Box 271,,WANDIN NORTH,VIC,3139,03 5964 4570,745,Yarra Ranges (S),145.4097,-37.7698,MULTIPOINT ((-37.76978300091373 145.409713))
vic_school_locations_2019.599,599,Government,1,3897,Gardenvale Primary School,Primary,O,66 Landcox Street,,Brighton East,VIC,3187,66 Landcox Street,,BRIGHTON EAST,VIC,3187,03 9596 2871,91,Bayside (C),145.015,-37.9047,MULTIPOINT ((-37.90467900091483 145.015034))
vic_school_locations_2019.600,600,Government,1,3899,Beaumaris Primary School,Primary,O,79-99 Dalgetty Road,,Beaumaris,VIC,3193,P O Box 6140,,Cromer,VIC,3193,03 9589 2619,91,Bayside (C),145.0376,-37.9853,MULTIPOINT ((-37.985272000915465 145.037586))
vic_school_locations_2019.601,601,Government,1,3907,Currawa Primary School,Primary,O,2 Ridge Road,,Dookie Campus,VIC,3647,2 Ridge Road,,Dookie Campus,VIC,3647,03 5828 6581,283,Greater Shepparton (C),145.7038,-36.3847,MULTIPOINT ((-36.384748760901346 145.70378669999997))
vic_school_locations_2019.602,602,Government,1,3920,Cann River P-12 College,Pri/Sec,O,20-24 Tamboon Road,,Cann River,VIC,3890,20-24 Tamboon,,CANN RIVER,VIC,3890,03 5158 6245,211,East Gippsland (S),149.153,-37.5697,MULTIPOINT ((-37.569700000912064 149.153022))
vic_school_locations_2019.603,603,Government,1,3923,Altona Primary School,Primary,O,109 Blyth Street,,Altona,VIC,3018,P O Box 127,,ALTONA,VIC,3018,03 9398 2925,311,Hobsons Bay (C),144.8227,-37.8677,MULTIPOINT ((-37.86770800091452 144.822742))
vic_school_locations_2019.604,604,Government,1,3924,Devon Meadows Primary School,Primary,O,Worthing Road,,Devon Meadows,VIC,3977,"Worthing Road,",,DEVON MEADOWS,VIC,3977,03 5998 2304,161,Casey (C),145.3014,-38.162,MULTIPOINT ((-38.16202600091685 145.301384))
vic_school_locations_2019.605,605,Government,1,3926,Upper Ferntree Gully Primary School,Primary,O,Talaskia Road,,Upper Ferntree Gully,VIC,3156,P O Box 7030,,UPPER FERNTREE GULLY,VIC,3156,03 9758 1527,367,Knox (C),145.3143,-37.8956,MULTIPOINT ((-37.895604000914744 145.314325))
vic_school_locations_2019.606,606,Government,1,3931,Eildon Primary School,Primary,O,45 High Street,,Eildon,VIC,3713,45 High Street,,EILDON,VIC,3713,03 5774 2074,562,Murrindindi (S),145.9068,-37.234,MULTIPOINT ((-37.233967000909196 145.906761))
vic_school_locations_2019.607,607,Government,1,3933,Bittern Primary School,Primary,O,Portsmouth Road,,Bittern,VIC,3918,P O Box 3,,BITTERN,VIC,3918,03 5983 9590,534,Mornington Peninsula (S),145.1717,-38.3399,MULTIPOINT ((-38.33985700091821 145.171678))
vic_school_locations_2019.608,608,Government,1,3936,Colbinabbin Primary School,Primary,O,56 Mitchell Street,,Colbinabbin,VIC,3559,56 Mitchell Street,,COLBINABBIN,VIC,3559,03 5432 9330,137,Campaspe (S),144.8017,-36.5899,MULTIPOINT ((-36.58988100090331 144.801658))
vic_school_locations_2019.609,609,Government,1,3937,Stanhope Primary School,Primary,O,48 Midland Highway,,Stanhope,VIC,3623,PO Box 19,,STANHOPE,VIC,3623,03 5857 2514,137,Campaspe (S),144.988,-36.4481,MULTIPOINT ((-36.44810200090196 144.98801599999996))
vic_school_locations_2019.610,610,Government,1,3939,Hurstbridge Primary School,Primary,O,Main Road,,Hurstbridge,VIC,3099,Main Road,,HURSTBRIDGE,VIC,3099,03 9718 2386,571,Nillumbik (S),145.1981,-37.6359,MULTIPOINT ((-37.63589700091263 145.19812))
vic_school_locations_2019.611,611,Government,1,3941,Coburg West Primary School,Primary,O,185-187 Reynard Street,,Coburg,VIC,3058,185-187 REYNARD STREET,,COBURG,VIC,3058,03 9386 1286,525,Moreland (C),144.9476,-37.7471,MULTIPOINT ((-37.74715000091355 144.94762399999996))
vic_school_locations_2019.612,612,Government,1,3942,Elwood Primary School,Primary,O,Scott Street,,Elwood,VIC,3184,Scott Street,,ELWOOD,VIC,3184,03 9531 2762,590,Port Phillip (C),144.9884,-37.8815,MULTIPOINT ((-37.881505000914636 144.988364))
vic_school_locations_2019.613,613,Government,1,3943,Mont Albert Primary School,Primary,O,Barloa Road,,Mont Albert,VIC,3127,Barloa Road,,MONT ALBERT,VIC,3127,03 9890 1331,698,Whitehorse (C),145.1027,-37.8131,MULTIPOINT ((-37.81307900091409 145.102727))
vic_school_locations_2019.614,614,Government,1,3944,Dhurringile Primary School,Primary,O,605 Langham Road,,Dhurringile,VIC,3610,605 Langham Road,,DHURRINGILE,VIC,3610,03 5826 6222,283,Greater Shepparton (C),145.2398,-36.5432,MULTIPOINT ((-36.543203000902864 145.239786))
